resource_id,repo_id,uri,next_refid
12612,11,/repositories/11/resources/12612,2308
25692,11,/repositories/11/resources/25692,2
27831,11,/repositories/11/resources/27831,2
53334,11,/repositories/11/resources/53334,18
53849,11,/repositories/11/resources/53849,57
54529,11,/repositories/11/resources/54529,2
54532,11,/repositories/11/resources/54532,2
54848,11,/repositories/11/resources/54848,4
54868,11,/repositories/11/resources/54868,7
54902,11,/repositories/11/resources/54902,27
14,12,/repositories/12/resources/14,16746
17,12,/repositories/12/resources/17,123
21,12,/repositories/12/resources/21,518
27,12,/repositories/12/resources/27,526
30,12,/repositories/12/resources/30,617
36,12,/repositories/12/resources/36,611
45,12,/repositories/12/resources/45,702
79,12,/repositories/12/resources/79,521
92,12,/repositories/12/resources/92,41
93,12,/repositories/12/resources/93,1151
95,12,/repositories/12/resources/95,644
108,12,/repositories/12/resources/108,972
117,12,/repositories/12/resources/117,1000
120,12,/repositories/12/resources/120,178
123,12,/repositories/12/resources/123,12
129,12,/repositories/12/resources/129,12
131,12,/repositories/12/resources/131,120
134,12,/repositories/12/resources/134,157
135,12,/repositories/12/resources/135,10413
138,12,/repositories/12/resources/138,543
139,12,/repositories/12/resources/139,24
141,12,/repositories/12/resources/141,62
144,12,/repositories/12/resources/144,336
145,12,/repositories/12/resources/145,675
147,12,/repositories/12/resources/147,574
149,12,/repositories/12/resources/149,1588
152,12,/repositories/12/resources/152,284
156,12,/repositories/12/resources/156,17
157,12,/repositories/12/resources/157,59
160,12,/repositories/12/resources/160,861
162,12,/repositories/12/resources/162,328
165,12,/repositories/12/resources/165,697
168,12,/repositories/12/resources/168,294
171,12,/repositories/12/resources/171,88
173,12,/repositories/12/resources/173,595
177,12,/repositories/12/resources/177,424
183,12,/repositories/12/resources/183,515
186,12,/repositories/12/resources/186,532
189,12,/repositories/12/resources/189,521
195,12,/repositories/12/resources/195,693
228,12,/repositories/12/resources/228,519
239,12,/repositories/12/resources/239,688
240,12,/repositories/12/resources/240,604
246,12,/repositories/12/resources/246,517
248,12,/repositories/12/resources/248,1528
249,12,/repositories/12/resources/249,784
255,12,/repositories/12/resources/255,201
258,12,/repositories/12/resources/258,192
264,12,/repositories/12/resources/264,14
266,12,/repositories/12/resources/266,31
267,12,/repositories/12/resources/267,14
270,12,/repositories/12/resources/270,144
273,12,/repositories/12/resources/273,25
278,12,/repositories/12/resources/278,512
279,12,/repositories/12/resources/279,418
281,12,/repositories/12/resources/281,297
282,12,/repositories/12/resources/282,1825
285,12,/repositories/12/resources/285,23
288,12,/repositories/12/resources/288,71
289,12,/repositories/12/resources/289,509
291,12,/repositories/12/resources/291,106
292,12,/repositories/12/resources/292,20
294,12,/repositories/12/resources/294,238
299,12,/repositories/12/resources/299,511
300,12,/repositories/12/resources/300,520
302,12,/repositories/12/resources/302,461
303,12,/repositories/12/resources/303,726
305,12,/repositories/12/resources/305,644
306,12,/repositories/12/resources/306,86
312,12,/repositories/12/resources/312,829
315,12,/repositories/12/resources/315,537
318,12,/repositories/12/resources/318,8
